,"AUSTAUSCHBARE ELASTOMERE LAGER DER FA. SCHREIBER, MAINHARDT",Bauwerks-Nr.,"DRAUFSICHT, M 1 25",DRAUFSICHT. M 1 50,DRAUFSICHT. M 1 50_1,DRAUFSICHT. M 1 50_2,EINBAU DER LAGER (UNTERE ANKERPLATTE),Hauptmaßen des Entwurfes geprüft ,Lager Nr .   50 1,Lager Nr .   50 1_1,Lager Nr .  50 2,LAGERSYSTEMSKIZZE
qs_w2e_east,0.115,0.129,0.147,0.215,0.172,0.166,0.104,0.142,0.105,0.164,0.192,0.132
qs_w2e_middle,0.062,0.086,0.114,0.189,0.111,0.099,0.084,0.116,0.097,0.096,0.096,0.081
qs_w2e_west,0.141,0.143,0.154,0.195,0.155,0.151,0.15,0.15,0.131,0.181,0.2,0.145
sideview,0.122,0.139,0.152,0.204,0.138,0.152,0.166,0.132,0.1,0.176,0.184,0.12
topview,0.42,0.399,0.344,0.41,0.355,0.333,0.43,0.352,0.3,0.326,0.325,0.356
wl_east_east,0.142,0.158,0.17,0.279,0.207,0.181,0.109,0.204,0.168,0.213,0.259,0.148
wl_east_north,0.223,0.291,0.315,0.407,0.342,0.304,0.246,0.296,0.276,0.39,0.406,0.26
wl_east_south,0.221,0.29,0.318,0.411,0.342,0.307,0.251,0.3,0.28,0.392,0.408,0.263
wl_east_top,0.212,0.183,0.226,0.33,0.242,0.236,0.187,0.261,0.339,0.291,0.319,0.209
wl_east_west,0.148,0.158,0.178,0.289,0.211,0.19,0.11,0.211,0.177,0.219,0.263,0.149
wl_west_east,0.08,0.118,0.152,0.183,0.162,0.176,0.079,0.166,0.055,0.171,0.209,0.116
wl_west_north,0.107,0.144,0.16,0.28,0.172,0.171,0.092,0.222,0.159,0.195,0.21,0.125
wl_west_south,0.096,0.14,0.155,0.276,0.163,0.162,0.093,0.222,0.157,0.184,0.194,0.123
wl_west_top,0.186,0.158,0.172,0.316,0.187,0.201,0.158,0.315,0.285,0.229,0.238,0.168
wl_west_west,0.081,0.114,0.146,0.183,0.162,0.175,0.072,0.165,0.055,0.174,0.215,0.11
