,front_clipped_1,front_clipped_2,front_clipped_3,side_unclipped_1,topview_unclipped
"ANSICHT SEITE SÜD, M 1  100",0.191,0.125,0.214,0.375,0.384
"ANSICHT WIDERLAGER, M 1 50",0.215,0.11,0.218,0.244,0.424
"DETAIL  A , M 1 25",0.177,0.114,0.224,0.184,0.3
"DETAIL  B , M=1 25",0.132,0.105,0.089,0.159,0.499
DRAUFSICHT AUF .... N,0.173,0.103,0.167,0.203,0.518
KAPPE AUF DER STÜTZWAND,0.144,0.13,0.205,0.182,0.277
"LÄNGSSCHNITT A-A, M 1 100",0.155,0.132,0.205,0.315,0.454
Raumfuge (RF) n. RiZ Fug 1 Bild 2,0.19,0.103,0.16,0.151,0.37
REGELQUERSCHNITT,0.216,0.152,0.212,0.21,0.349
SICHTFLÄCHENSCHALUNG   ÜBERBAU,0.192,0.112,0.169,0.256,0.472
Sickerschacht,0.118,0.065,0.111,0.135,0.473
