,widerlager_west_1,widerlager_west_2,widerlager_west_3,widerlager_west_4
"ANSICHT SEITE SÜD, M 1  100",0.218,0.315,0.218,0.3
"ANSICHT WIDERLAGER, M 1 50",0.278,0.253,0.278,0.249
"DETAIL  A , M 1 25",0.192,0.215,0.19,0.216
"DETAIL  B , M=1 25",0.054,0.101,0.058,0.096
DRAUFSICHT AUF .... N,0.197,0.179,0.201,0.189
KAPPE AUF DER STÜTZWAND,0.225,0.239,0.225,0.244
"LÄNGSSCHNITT A-A, M 1 100",0.233,0.266,0.235,0.283
Raumfuge (RF) n. RiZ Fug 1 Bild 2,0.163,0.195,0.163,0.195
REGELQUERSCHNITT,0.225,0.269,0.223,0.279
SICHTFLÄCHENSCHALUNG   ÜBERBAU,0.228,0.207,0.229,0.211
Sickerschacht,0.085,0.106,0.088,0.106
